,Polling,Con,Lab,LD,Green,BXP/Reform,date_published,
4,YouGov,49,30,8,5,2,05/01/2020,
5,Ipsos,47,30,11,5,1,06/01/2020,
0,BMG,44,29,11,5,4,13/01/2020,
1,Opinium,47,30,9,4,3,18/01/2020,
2,YouGov,49,29,10,4,2,28/01/2020,
3,Survation,44,33,10,3,3,31/01/2020,
6,BMG,41,29,11,8,3,08/02/2020,
7,YouGov,48,28,10,6,2,14/02/2020,
8,Opinium,47,32,7,4,2,15/02/2020,
9,Savanta ComRes,47,31,9,4,3,23/02/2020,
10,BMG,45,28,11,,,08/03/2020,
11,Kantar,50,29,11,2,1,11/03/2020,
12,Opinium,49,32,6,5,0,15/03/2020,
13,Ipsos,52,30,9,4,0,19/03/2020,
14,NCP,54,28,7,4,2,28/03/2020,
15,Opinium,54,28,6,3,0,29/03/2020,
26,Survation,48,31,8,5,1,01/04/2020,
16,YouGov,52,28,8,5,1,03/04/2020,
27,Opinium,51,33,6,3,0,03/04/2020,
17,Opinium,53,30,7,3,0,05/04/2020,
18,BMG,46,29,10,6,2,11/04/2020,
19,Opinium,55,29,5,4,0,12/04/2020,
20,Opinium,51,32,6,3,0,19/04/2020,
23,R+W,52,31,8,3,,19/04/2020,
21,YouGov,53,32,5,3,1,20/04/2020,
22,Kantar,54,28,9,4,1,22/04/2020,
24,Opinium,50,33,7,3,0,26/04/2020,
25,R+W,50,33,7,4,,28/04/2020,
42,YouGov,45,35,6,5,2,01/05/2020,
30,R+W,50,31,7,5,,06/05/2020,
28,YouGov,50,30,7,5,3,07/05/2020,
29,Opinium,49,33,6,5,0,10/05/2020,
31,Kantar,51,32,7,2,2,14/05/2020,
32,Opinium,49,34,6,3,0,17/05/2020,
33,R+W,47,35,9,3,,18/05/2020,
34,Savanta ComRes,46,33,7,4,2,21/05/2020,
35,Opinium,47,35,6,3,0,24/05/2020,
36,Survation,46,33,8,4,0,26/05/2020,
37,YouGov,44,38,6,4,2,27/05/2020,
39,R+W,43,37,9,3,,27/05/2020,
38,YouGov,43,38,6,4,3,29/05/2020,
40,Deltapoll,43,38,8,4,2,31/05/2020,
41,Opinium,43,39,6,3,0,31/05/2020,
43,R+W,43,36,9,5,,04/06/2020,
44,Survation,41,39,7,4,1,07/06/2020,
45,Deltapoll,41,38,8,4,3,07/06/2020,
46,Opinium,43,40,6,3,0,07/06/2020,
48,Survation,42,36,8,4,1,11/06/2020,
47,Ipsos,43,38,10,3,0,12/06/2020,
49,R+W,41,39,9,4,,13/06/2020,
50,YouGov,45,37,6,4,2,13/06/2020,
51,Opinium,44,39,6,2,,14/06/2020,
52,Kantar,43,35,8,4,2,17/06/2020,
53,Savanta ComRes,40,36,9,3,3,18/06/2020,
54,R+W,43,38,8,4,,19/06/2020,
55,Opinium,44,40,5,3,,20/06/2020,
56,Survation,43,36,8,4,0,26/06/2020,
57,R+W,44,38,7,4,,26/06/2020,
58,Opinium,43,39,6,4,,27/06/2020,
74,Opinium,41,38,6,4,0,01/07/2020,
59,R+W,42,38,8,5,,02/07/2020,
77,Survation,44,35,8,5,0,04/07/2020,
60,Opinium,41,37,8,4,0,05/07/2020,
75,YouGov,43,35,6,5,3,05/07/2020,
76,Ipsos,45,37,6,5,1,06/07/2020,
61,Survation,44,37,7,4,0,07/07/2020,
62,R+W,44,39,7,4,,09/07/2020,
63,YouGov,46,36,6,3,2,10/07/2020,
65,Deltapoll,44,38,7,3,3,11/07/2020,
64,Opinium,42,38,6,4,0,12/07/2020,
67,Survation,42,36,8,5,1,13/07/2020,
66,Kantar,45,35,9,2,2,16/07/2020,
68,R+W,44,37,8,4,,16/07/2020,
69,Opinium,44,36,6,4,,19/07/2020,
70,Savanta ComRes,43,37,6,2,2,22/07/2020,
71,R+W,44,36,8,5,,24/07/2020,
72,Opinium,42,38,6,4,0,26/07/2020,
73,R+W,43,38,7,4,,31/07/2020,
78,YouGov,42,36,8,5,2,07/08/2020,
79,Kantar,42,35,8,3,3,12/08/2020,
81,R+W,43,36,9,4,,14/08/2020,
82,Opinium,42,39,5,3,0,16/08/2020,
80,YouGov,44,35,5,5,3,19/08/2020,
83,Savanta ComRes,42,37,7,3,2,19/08/2020,
84,YouGov,40,38,6,6,4,19/08/2020,
85,R+W,44,37,7,5,,20/08/2020,
86,Survation,41,37,9,4,1,25/08/2020,
87,R+W,42,37,9,5,,26/08/2020,
88,YouGov,43,36,6,4,3,26/08/2020,
89,Opinium,40,40,6,3,0,30/08/2020,
105,YouGov,39,39,6,5,4,01/09/2020,
90,R+W,43,37,8,4,,03/09/2020,
106,R+W,39,39,8,5,,03/09/2020,
91,Survation,40,38,8,4,1,08/09/2020,
93,Opinium,42,39,6,4,0,13/09/2020,
92,NCP,42,38,6,5,2,15/09/2020,
95,R+W,41,39,8,5,,17/09/2020,
97,YouGov,40,40,6,5,3,19/09/2020,
94,Ipsos,40,37,8,5,0,22/09/2020,
96,Survation,40,38,7,4,1,22/09/2020,
99,Savanta ComRes,40,37,8,3,3,22/09/2020,
98,Kantar,40,38,9,4,3,23/09/2020,
100,R+W,40,40,7,5,,24/09/2020,
102,Opinium,39,42,5,4,,27/09/2020,
103,Deltapoll,42,38,6,4,3,27/09/2020,
101,YouGov,41,38,6,5,3,28/09/2020,
104,Savanta ComRes,41,38,8,3,2,30/09/2020,
123,Savanta ComRes,40,40,7,4,2,03/10/2020,
107,Savanta ComRes,42,39,7,3,2,06/10/2020,
109,YouGov,41,38,5,6,3,09/10/2020,
110,R+W,41,39,8,4,,09/10/2020,
111,Opinium,40,40,6,3,,11/10/2020,
108,Survation,41,37,7,4,1,12/10/2020,
112,Savanta ComRes,39,39,7,4,3,14/10/2020,
114,YouGov,39,38,6,6,5,16/10/2020,
113,NCP,41,38,5,6,4,21/10/2020,
115,Savanta ComRes,42,36,8,3,2,21/10/2020,
116,R+W,40,40,7,4,,21/10/2020,
118,Opinium,38,40,6,5,,25/10/2020,
119,Deltapoll,42,39,7,3,3,25/10/2020,
117,YouGov,40,39,7,5,3,26/10/2020,
121,Savanta ComRes,42,39,7,3,2,28/10/2020,
120,Ipsos,37,42,8,5,1,30/10/2020,
122,R+W,39,41,7,4,,30/10/2020,
140,Savanta ComRes,39,38,8,3,2,02/11/2020,
124,YouGov,35,40,7,4,6,06/11/2020,
125,Survation,39,37,9,4,2,06/11/2020,
126,Opinium,38,42,7,3,,08/11/2020,
127,Kantar,40,36,8,5,3,11/11/2020,
128,Savanta ComRes,40,36,8,5,2,11/11/2020,
129,R+W,40,40,7,5,,12/11/2020,
139,Opinium,40,38,6,4,0,13/11/2020,
130,YouGov,38,40,5,5,4,16/11/2020,
131,Savanta ComRes,41,38,5,4,2,19/11/2020,
133,R+W,40,39,8,4,,20/11/2020,
134,Opinium,41,38,6,4,,22/11/2020,
132,YouGov,38,37,7,6,4,23/11/2020,
135,Savanta ComRes,39,37,7,4,3,25/11/2020,
136,NCP,39,37,7,5,4,28/11/2020,
137,YouGov,37,40,5,5,5,28/11/2020,
138,Deltapoll,37,38,9,4,3,29/11/2020,
152,Savanta ComRes,41,39,8,4,2,01/12/2020,
146,Focaldata,36,38,9,7,4,02/12/2020,
141,R+W,40,37,9,6,,04/12/2020,
155,Deltapoll,43,38,4,5,3,04/12/2020,
143,Opinium,38,40,6,3,0,06/12/2020,
142,YouGov,38,38,6,5,3,09/12/2020,
144,Survation,39,37,8,5,1,11/12/2020,
147,YouGov,37,37,8,6,5,11/12/2020,
145,Ipsos,41,41,6,5,0,14/12/2020,
149,Savanta ComRes,38,37,8,5,4,17/12/2020,
148,Kantar,38,37,10,5,3,20/12/2020,
151,Opinium,39,39,6,4,0,20/12/2020,
150,YouGov,39,37,6,6,4,22/12/2020,
153,YouGov,37,41,5,5,4,23/12/2020,
154,Survation,39,38,8,4,1,24/12/2020,
170,NCP,43,37,5,5,3,03/01/2021,
173,Savanta ComRes,41,38,6,3,2,03/01/2021,
174,Ipsos,42,38,7,8,0,08/01/2021,
157,YouGov,39,39,6,6,3,09/01/2021,
156,Opinium,39,40,6,4,0,10/01/2021,
158,Savanta ComRes,40,37,8,4,2,12/01/2021,
159,R+W,41,37,8,5,2,12/01/2021,
160,Survation,40,38,7,5,0,17/01/2021,
162,Opinium,37,41,6,4,,17/01/2021,
161,YouGov,38,39,5,6,3,19/01/2021,
164,R+W,40,38,8,5,2,19/01/2021,
163,Savanta ComRes,39,37,7,3,2,22/01/2021,
165,YouGov,39,38,5,6,4,23/01/2021,
166,Deltapoll,41,39,7,3,2,25/01/2021,
169,R+W,42,37,8,4,3,25/01/2021,
171,YouGov,37,41,6,4,3,28/01/2021,
167,Kantar,40,37,10,5,2,29/01/2021,
168,Savanta ComRes,40,37,8,3,2,29/01/2021,
172,Opinium,41,38,7,4,1,31/01/2021,
188,Survation,42,34,7,6,1,01/02/2021,
175,R+W,40,38,8,4,3,02/02/2021,
192,Savanta ComRes,43,36,7,3,3,02/02/2021,
176,YouGov,41,37,6,6,3,08/02/2021,
179,R+W,43,38,7,4,2,09/02/2021,
178,Savanta ComRes,41,37,8,4,2,11/02/2021,
180,YouGov,41,36,6,7,3,11/02/2021,
177,Survation,39,33,9,7,,12/02/2021,
181,Opinium,42,37,6,5,0,14/02/2021,
183,R+W,41,39,8,5,2,15/02/2021,
182,Savanta ComRes,42,37,7,3,2,18/02/2021,
184,YouGov,40,37,7,6,3,22/02/2021,
187,R+W,43,37,7,5,3,23/02/2021,
186,Savanta ComRes,40,38,7,3,3,24/02/2021,
185,Kantar,40,33,11,6,3,25/02/2021,
191,YouGov,41,36,5,7,3,26/02/2021,
189,Opinium,43,36,7,4,1,27/02/2021,
190,Deltapoll,42,38,6,4,3,27/02/2021,
211,Kantar,42,34,9,4,2,01/03/2021,
193,R+W,44,38,7,3,2,02/03/2021,
194,YouGov,45,32,6,7,3,04/03/2021,
213,YouGov,42,34,7,6,3,07/03/2021,
197,R+W,45,36,7,4,3,09/03/2021,
195,Savanta ComRes,42,36,8,4,3,10/03/2021,
198,Survation,43,33,9,5,1,14/03/2021,
200,Opinium,43,37,6,4,0,14/03/2021,
196,Ipsos,45,38,6,5,1,15/03/2021,
203,R+W,43,36,7,5,3,16/03/2021,
199,YouGov,42,33,7,6,3,17/03/2021,
201,Savanta ComRes,39,37,8,4,3,17/03/2021,
202,NCP,42,37,7,5,2,20/03/2021,
207,R+W,42,36,9,6,2,22/03/2021,
204,BMG,39,37,9,6,3,23/03/2021,
205,YouGov,43,34,5,7,3,24/03/2021,
206,Savanta ComRes,42,38,6,3,2,26/03/2021,
208,Opinium,41,37,6,5,1,28/03/2021,
210,Deltapoll,44,36,6,4,3,28/03/2021,
212,R+W,44,36,7,4,2,29/03/2021,
209,YouGov,42,32,8,7,3,30/03/2021,
233,Survation,39,38,9,6,,01/04/2021,
236,Focaldata,40,39,6,4,3,01/04/2021,
235,Opinium,42,37,7,4,0,02/04/2021,
237,Savanta ComRes,40,36,8,4,2,04/04/2021,
215,R+W,44,34,9,5,2,05/04/2021,
214,Savanta ComRes,42,35,8,3,2,06/04/2021,
217,Opinium,45,36,6,4,0,11/04/2021,
218,Deltapoll,45,36,6,4,4,11/04/2021,
216,YouGov,41,34,6,6,3,12/04/2021,
221,R+W,43,36,7,5,3,12/04/2021,
220,Savanta ComRes,42,35,7,4,2,14/04/2021,
219,Survation,43,35,8,4,,16/04/2021,
222,YouGov,43,29,8,8,3,16/04/2021,
226,R+W,44,34,10,4,3,19/04/2021,
224,Savanta ComRes,43,34,7,4,1,20/04/2021,
223,Survation,40,34,9,7,,22/04/2021,
227,YouGov,44,34,5,7,2,23/04/2021,
228,Opinium,44,33,7,5,0,25/04/2021,
225,Ipsos,40,37,8,5,2,26/04/2021,
231,R+W,44,34,8,4,3,26/04/2021,
229,Kantar,41,33,10,7,3,28/04/2021,
230,Savanta ComRes,42,35,8,3,2,28/04/2021,
232,YouGov,44,33,7,7,3,29/04/2021,
234,NCP,43,34,5,7,2,29/04/2021,
238,R+W,40,38,7,5,3,03/05/2021,
256,Savanta ComRes,42,32,9,5,2,03/05/2021,
239,Panelbase,45,36,6,5,,05/05/2021,
240,YouGov,43,33,7,6,3,06/05/2021,
257,Ipsos,44,35,6,7,0,07/05/2021,
242,R+W,45,34,8,5,2,10/05/2021,
241,Savanta ComRes,42,34,8,4,2,11/05/2021,
243,YouGov,45,30,7,8,2,14/05/2021,
244,Opinium,44,31,8,7,0,16/05/2021,
245,Find Out Now / Electoral Calculus,43,30,11,9,2,16/05/2021,
246,Savanta ComRes,43,32,8,5,2,17/05/2021,
247,R+W,42,33,10,6,2,17/05/2021,
248,YouGov,46,28,8,8,2,21/05/2021,
250,R+W,43,33,10,5,3,24/05/2021,
249,Savanta ComRes,43,34,9,4,2,27/05/2021,
251,Survation,44,33,8,6,,27/05/2021,
252,NCP,44,32,7,8,2,28/05/2021,
253,Survation,43,33,10,5,,29/05/2021,
254,YouGov,43,29,8,8,3,29/05/2021,
255,Opinium,42,36,6,5,1,30/05/2021,
258,R+W,45,34,8,5,3,31/05/2021,
277,Survation,41,35,10,5,,01/06/2021,
259,Survation,41,33,9,6,,04/06/2021,
260,YouGov,46,30,6,9,2,04/06/2021,
280,YouGov,42,31,10,6,3,05/06/2021,
263,R+W,43,36,7,5,1,07/06/2021,
262,Savanta ComRes,44,32,8,5,2,09/06/2021,
261,Kantar,45,32,8,6,2,10/06/2021,
265,YouGov,44,31,7,9,2,11/06/2021,
267,Opinium,43,34,6,7,,13/06/2021,
270,R+W,44,34,9,5,2,14/06/2021,
266,Survation,42,35,9,5,,15/06/2021,
268,Savanta ComRes,41,34,8,6,2,16/06/2021,
264,NCP,45,34,5,7,3,17/06/2021,
271,YouGov,45,31,6,7,4,21/06/2021,
274,R+W,44,33,10,4,3,21/06/2021,
272,Deltapoll,41,35,10,5,2,22/06/2021,
273,Savanta ComRes,44,30,10,5,1,22/06/2021,
269,Survation,41,33,8,7,,23/06/2021,
275,YouGov,42,30,9,7,4,25/06/2021,
276,Opinium,43,35,7,5,,27/06/2021,
279,R+W,41,34,9,5,3,28/06/2021,
278,Savanta ComRes,42,33,9,5,2,29/06/2021,
301,Savanta ComRes,40,34,10,6,1,03/07/2021,
283,R+W,43,34,8,6,4,05/07/2021,
281,Savanta ComRes,41,35,8,4,3,06/07/2021,
287,Opinium,43,35,6,6,,11/07/2021,
289,R+W,41,33,12,6,3,12/07/2021,
302,Ipsos,41,30,13,8,0,12/07/2021,
284,Survation,43,32,9,6,,13/07/2021,
285,YouGov,42,30,9,7,2,13/07/2021,
282,Ipsos,40,31,13,6,0,14/07/2021,
288,Savanta ComRes,40,35,9,6,2,14/07/2021,
286,Kantar,44,31,12,4,1,15/07/2021,
290,YouGov,44,31,8,6,3,19/07/2021,
292,R+W,42,33,10,5,3,19/07/2021,
293,Survation,39,35,11,5,,20/07/2021,
291,Savanta ComRes,41,34,8,5,2,22/07/2021,
294,YouGov,38,34,9,8,3,24/07/2021,
295,Opinium,43,35,8,5,,25/07/2021,
296,Survation,39,37,10,5,,26/07/2021,
298,Deltapoll,42,37,6,6,2,26/07/2021,
299,R+W,40,36,9,6,4,26/07/2021,
297,Savanta ComRes,40,34,10,4,2,28/07/2021,
300,YouGov,39,34,8,9,3,30/07/2021,
303,R+W,41,34,11,6,3,02/08/2021,
317,YouGov,39,31,8,9,4,02/08/2021,
318,Savanta ComRes,40,34,10,5,2,02/08/2021,
304,Opinium,42,35,7,5,,08/08/2021,
307,R+W,40,37,9,6,3,09/08/2021,
305,YouGov,41,33,8,7,3,11/08/2021,
306,Savanta ComRes,41,33,10,4,2,12/08/2021,
308,YouGov,40,32,9,7,2,13/08/2021,
310,R+W,40,36,10,5,3,16/08/2021,
309,Savanta ComRes,41,34,9,4,2,19/08/2021,
311,YouGov,40,32,9,8,3,20/08/2021,
312,Opinium,39,36,8,6,,22/08/2021,
316,R+W,43,33,10,6,3,23/08/2021,
313,Kantar,37,34,14,5,2,26/08/2021,
315,Savanta ComRes,41,34,9,4,2,26/08/2021,
319,R+W,41,33,9,5,4,30/08/2021,
314,Opinium,39,35,9,6,,02/09/2021,
344,Opinium,39,35,8,6,,02/09/2021,
320,Opinium,40,35,7,6,,05/09/2021,
321,Deltapoll,41,33,9,7,3,05/09/2021,
322,YouGov,38,34,8,10,3,06/09/2021,
325,R+W,41,32,11,6,4,06/09/2021,
324,Savanta ComRes,40,36,9,4,3,10/09/2021,
327,YouGov,33,35,10,9,5,10/09/2021,
326,Find Out Now / Electoral Calculus,37,33,12,8,4,11/09/2021,
328,Opinium,38,38,8,6,,12/09/2021,
332,R+W,39,35,9,6,5,13/09/2021,
330,Savanta ComRes,39,35,9,6,3,15/09/2021,
329,Panelbase,41,36,10,5,,17/09/2021,
331,Survation,40,36,9,5,,17/09/2021,
333,YouGov,39,35,7,7,3,17/09/2021,
334,Opinium,40,37,7,6,,19/09/2021,
337,R+W,41,35,8,7,3,20/09/2021,
335,Savanta ComRes,40,35,9,5,2,22/09/2021,
338,Survation,40,35,8,4,,22/09/2021,
339,YouGov,39,32,10,9,3,24/09/2021,
336,Ipsos,39,36,9,6,0,27/09/2021,
341,R+W,41,35,10,5,3,29/09/2021,
340,Kantar,43,30,11,6,1,30/09/2021,
342,YouGov,39,31,8,9,4,30/09/2021,
343,Survation,41,36,8,5,,30/09/2021,
323,YouGov,38,33,9,8,4,01/10/2021,
346,R+W,40,37,10,4,3,04/10/2021,
363,Savanta ComRes,40,35,9,4,3,04/10/2021,
345,Savanta ComRes,40,35,9,4,3,06/10/2021,
347,YouGov,39,31,9,9,4,07/10/2021,
364,Ipsos,35,36,9,11,0,08/10/2021,
348,Survation,39,35,9,5,,11/10/2021,
350,R+W,40,36,9,6,4,11/10/2021,
349,Savanta ComRes,40,35,8,5,2,14/10/2021,
352,YouGov,41,31,9,8,4,14/10/2021,
353,Opinium,41,37,7,5,,17/10/2021,
354,Deltapoll,38,37,9,6,2,17/10/2021,
351,NCP,40,32,6,9,3,18/10/2021,
357,R+W,40,37,9,5,3,18/10/2021,
355,Kantar,39,34,8,8,2,21/10/2021,
356,Savanta ComRes,40,35,8,5,3,21/10/2021,
358,YouGov,37,33,9,10,4,22/10/2021,
360,R+W,39,36,10,6,4,25/10/2021,
359,Savanta ComRes,37,35,8,7,4,27/10/2021,
361,YouGov,39,33,8,10,3,29/10/2021,
362,Opinium,40,35,8,7,,30/10/2021,
365,R+W,40,35,10,6,3,01/11/2021,
366,YouGov,36,35,8,9,5,05/11/2021,
387,Find Out Now / Electoral Calculus,36,35,11,8,3,06/11/2021,
367,Deltapoll,40,37,8,6,2,07/11/2021,
368,Opinium,37,36,9,6,,07/11/2021,
388,Survation,36,39,9,3,3,07/11/2021,
371,R+W,37,36,10,6,5,08/11/2021,
369,Savanta ComRes,38,35,10,4,3,09/11/2021,
372,R+W,36,38,10,6,3,11/11/2021,
373,YouGov,35,35,8,10,4,12/11/2021,
376,Savanta ComRes,34,40,10,5,3,13/11/2021,
374,Opinium,36,37,9,7,,14/11/2021,
378,R+W,36,37,10,5,4,15/11/2021,
377,Survation,37,37,10,4,2,17/11/2021,
375,Panelbase,38,39,9,6,,19/11/2021,
379,YouGov,36,34,7,10,5,19/11/2021,
382,R+W,37,37,9,6,4,22/11/2021,
381,Savanta ComRes,36,38,10,5,3,24/11/2021,
380,Kantar,39,36,10,5,2,25/11/2021,
383,YouGov,36,35,7,8,6,26/11/2021,
370,Find Out Now / Electoral Calculus,36,35,11,8,2,27/11/2021,
384,Opinium,36,38,8,6,,28/11/2021,
386,R+W,38,36,10,6,4,29/11/2021,
385,Savanta ComRes,37,37,8,5,4,30/11/2021,
414,Deltapoll,35,40,10,4,3,02/12/2021,
389,YouGov,36,33,9,9,6,03/12/2021,
391,Deltapoll,37,38,10,5,2,05/12/2021,
394,R+W,38,36,9,6,4,06/12/2021,
392,Savanta ComRes,38,37,9,5,2,07/12/2021,
395,R+W,34,38,11,6,5,08/12/2021,
396,YouGov,33,37,9,7,6,09/12/2021,
397,Survation,34,40,10,4,3,10/12/2021,
399,Focaldata,33,41,7,6,6,10/12/2021,
400,Savanta ComRes,33,39,9,4,4,11/12/2021,
401,YouGov,32,40,8,7,7,11/12/2021,
398,Opinium,32,41,9,5,,12/12/2021,
393,Ipsos,34,39,11,7,1,13/12/2021,
403,Survation,32,39,9,5,4,13/12/2021,
404,R+W,32,37,11,7,7,13/12/2021,
402,Kantar,34,38,11,7,3,16/12/2021,
406,YouGov,32,37,10,7,6,16/12/2021,
407,Find Out Now / Electoral Calculus,30,38,10,10,7,17/12/2021,
408,Savanta ComRes,34,38,10,4,4,17/12/2021,
411,R+W,31,39,13,6,5,20/12/2021,
409,Savanta ComRes,32,37,13,5,4,22/12/2021,
410,YouGov,30,36,12,8,5,22/12/2021,
412,Focaldata,34,41,9,4,3,22/12/2021,
390,Focaldata,32,40,10,7,,25/12/2021,
413,Opinium,32,39,11,6,,26/12/2021,
405,Survation,35,41,9,5,,27/12/2021,
442,Savanta ComRes,33,44,9,3,3,01/01/2022,
415,R+W,35,38,10,5,4,03/01/2022,
416,Opinium,34,39,11,5,,09/01/2022,
417,YouGov,33,37,10,6,5,10/01/2022,
419,R+W,35,39,12,5,4,10/01/2022,
418,Savanta ComRes,33,37,11,5,4,11/01/2022,
420,YouGov,28,38,13,7,4,13/01/2022,
422,Focaldata,33,42,11,4,3,13/01/2022,
423,YouGov,29,40,11,6,6,14/01/2022,
426,Find Out Now / Electoral Calculus,27,41,11,8,5,14/01/2022,
427,Savanta ComRes,32,42,11,4,2,14/01/2022,
424,Opinium,31,41,9,6,,16/01/2022,
425,Deltapoll,32,41,11,5,2,17/01/2022,
431,R+W,30,43,9,7,4,17/01/2022,
428,YouGov,31,39,11,6,5,18/01/2022,
429,Savanta ComRes,32,41,11,4,3,19/01/2022,
430,Survation,33,43,10,3,2,21/01/2022,
433,YouGov,32,39,8,8,4,24/01/2022,
