Year,Month,Fieldwork,,Published,Polling,,Con,,Lab,,LD,,Green,,BXP/Reform,,Ukip,
2020,Nov,19,19/11/20,20,R+W,,40.0,0.0,39.0,-1.0,8.0,1.0,4.0,-1.0,,,,
2020,Nov,19-20,19/11/20,22,Opinium,Ob,41.0,3.0,38.0,-4.0,6.0,-1.0,4.0,1.0,,,2.0,0.0
2020,Nov,20-22,20/11/20,25,Savanta ComRes,,39.0,-2.0,37.0,-1.0,7.0,2.0,4.0,0.0,3.0,1.0,,
2020,Nov,20-28,20/11/20,28,NCP,,39.0,-2.0,37.0,-1.0,7.0,2.0,5.0,-1.0,4.0,0.0,,
2020,Nov,21-23,21/11/20,24,YouGov,,,,,,,,,,,,,
2020,Nov,26-27,26/11/20,28,YouGov,,37.0,-1.0,40.0,3.0,5.0,-2.0,5.0,-1.0,5.0,1.0,,
2020,Nov,26-27,26/11/20,29,Deltapoll,MoS,37.0,-5.0,38.0,-1.0,9.0,2.0,4.0,1.0,3.0,0.0,,
2020,Nov,27-28,27/11/20,13,Opinium,Ob,40.0,-1.0,38.0,0.0,6.0,0.0,4.0,0.0,0.0,,2.0,0.0
2020,Nov,27-29,27/11/20,2,Savanta ComRes,,39.0,0.0,38.0,1.0,8.0,1.0,3.0,-1.0,2.0,-1.0,,
2020,Nov,28-30,28/11/20,,YouGov,,,,,,,,,,,,,
2020,Dec,2,2/12/20,4,R+W,,40.0,0.0,37.0,-2.0,9.0,1.0,6.0,2.0,,,,
2020,Dec,2-3,2/12/20,9,YouGov,,38.0,1.0,38.0,-2.0,6.0,1.0,5.0,0.0,3.0,-2.0,,
2020,Dec,2-7,2/12/20,11,Survation,,,,,,,,,,,,,
2020,Dec,3-4,3/12/20,6,Opinium,Ob,38.0,-2.0,40.0,2.0,6.0,0.0,3.0,-1.0,0.0,0.0,3.0,1.0
2020,Dec,4-10,4/12/20,11,Survation,,39.0,0.0,37.0,0.0,8.0,-1.0,5.0,1.0,1.0,-1.0,,
2020,Dec,4-10,4/12/20,14,Ipsos,ES,41.0,4.0,41.0,-1.0,6.0,-2.0,5.0,0.0,0.0,-1.0,0.0,0.0
2020,Dec,4-29,4/12/20,2,Focaldata,TT,36.0,,38.0,,9.0,,7.0,,4.0,,,
2020,Dec,5-7,5/12/20,,YouGov,,,,,,,,,,,,,
2020,Dec,8-9,8/12/20,11,YouGov,TT,37.0,-1.0,37.0,-1.0,8.0,2.0,6.0,1.0,5.0,2.0,,
2020,Dec,10-14,12/12/20,20,Kantar,,38.0,-2.0,37.0,1.0,10.0,2.0,5.0,0.0,3.0,0.0,1.0,0.0
2020,Dec,11-13,11/12/20,17,Savanta ComRes,,38.0,-1.0,37.0,-1.0,8.0,0.0,5.0,2.0,4.0,2.0,,
2020,Dec,12-14,12/12/20,,YouGov,,,,,,,,,,,,,
2020,Dec,15-16,15/12/20,22,YouGov,TT,39.0,2.0,37.0,0.0,6.0,-2.0,6.0,0.0,4.0,-1.0,,
2020,Dec,16-17,16/12/20,20,Opinium,Ob,39.0,1.0,39.0,-1.0,6.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0
2020,Dec,17-18,17/12/20,,YouGov,,,,,,,,,,,,,
2020,Dec,18-20,18/12/20,,YouGov,,,,,,,,,,,,,
2020,Dec,18-21,18/12/20,1,Savanta ComRes,DE,41.0,3.0,39.0,2.0,8.0,0.0,4.0,-1.0,2.0,-2.0,,
2020,Dec,21-22,21/12/20,23,YouGov,,37.0,-2.0,41.0,4.0,5.0,-1.0,5.0,-1.0,4.0,0.0,,
2020,Dec,22,22/12/20,24,Survation,,39.0,0.0,38.0,1.0,8.0,0.0,4.0,-1.0,1.0,0.0,,
2020,Dec,26-28,26/12/20,,YouGov,,,,,,,,,,,,,
2020,Dec,26-30,26/12/20,4,Deltapoll,Mirror,43.0,6.0,38.0,0.0,4.0,-5.0,5.0,1.0,3.0,0.0,,
2021,Jan,2-4,2/1/21,,YouGov,,,,,,,,,,,,,
2021,Jan,6-7,6/1/21,10,Opinium,Ob,39.0,0.0,40.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,2.0,-1.0
2021,Jan,4-5,4/1/21,9,YouGov,TT,39.0,2.0,39.0,-2.0,6.0,1.0,6.0,1.0,3.0,-1.0,,
2021,Jan,8-10,8/1/21,12,Savanta ComRes,,40.0,-1.0,37.0,-2.0,8.0,0.0,4.0,0.0,2.0,,,
2021,Jan,8-11,8/1/21,14,Ipsos,,,,,,,,,,,,,
2021,Jan,9-11,9/1/21,,YouGov,,,,,,,,,,,,,
2021,Jan,11,11/1/21,12,R+W,,41.0,1.0,37.0,0.0,8.0,-1.0,5.0,-1.0,2.0,,,
2021,Jan,12-13,12/1/21,17,Survation,,40.0,1.0,38.0,0.0,7.0,-1.0,5.0,1.0,0.0,-1.0,,
2021,Jan,13-14,13/1/21,19,YouGov,TT,38.0,-1.0,39.0,0.0,5.0,-1.0,6.0,0.0,3.0,0.0,,
2021,Jan,14-15,14/1/21,17,Opinium,Ob,37.0,-2.0,41.0,1.0,6.0,0.0,4.0,0.0,,,1.0,-1.0
2021,Jan,15-17,15/1/21,22,Savanta ComRes,,39.0,-1.0,37.0,0.0,7.0,-1.0,3.0,-1.0,2.0,0.0,,
2021,Jan,16-18,16/1/21,,YouGov,,,,,,,,,,,,,
2021,Jan,18,18/1/21,19,R+W,,40.0,-1.0,38.0,1.0,8.0,0.0,5.0,0.0,2.0,0.0,,
2021,Jan,21-22,21/1/21,23,YouGov,TT,39.0,1.0,38.0,-1.0,5.0,0.0,6.0,0.0,4.0,1.0,,
2021,Jan,21-23,21/1/21,25,Deltapoll,,41.0,-2.0,39.0,1.0,7.0,3.0,3.0,-2.0,2.0,-1.0,,
2021,Jan,21-25,21/1/21,29,Kantar,,40.0,2.0,37.0,0.0,10.0,0.0,5.0,0.0,2.0,-1.0,1.0,0.0
2021,Jan,22-24,22/1/21,29,Savanta ComRes,,40.0,1.0,37.0,0.0,8.0,1.0,3.0,0.0,2.0,0.0,,
2021,Jan,23-25,23/1/21,,YouGov,,,,,,,,,,,,,
2021,Jan,25,25/1/21,25,R+W,,42.0,2.0,37.0,-1.0,8.0,0.0,4.0,-1.0,3.0,1.0,,
2021,Jan,25-1,25/1/21,3,NCP,ITV,43.0,4.0,37.0,0.0,5.0,-2.0,5.0,0.0,3.0,-1.0,,
2021,Jan,26-27,26/1/21,28,YouGov,,37.0,-2.0,41.0,3.0,6.0,1.0,4.0,-2.0,3.0,-1.0,,
2021,Jan,28-29,28/1/21,31,Opinium,Ob,41.0,4.0,38.0,-3.0,7.0,1.0,4.0,0.0,1.0,,2.0,1.0
2021,Jan,29-31,29/1/21,3,Savanta ComRes,,41.0,1.0,38.0,1.0,6.0,-2.0,3.0,0.0,2.0,0.0,,
2021,Jan,29-4,29/1/21,8,Ipsos,ES,42.0,1.0,38.0,-3.0,7.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0
2021,Jan,30-1,30/1/21,,YouGov,,,,,,,,,,,,,
2021,Feb,1,1/2/21,2,R+W,,40.0,-2.0,38.0,1.0,8.0,0.0,4.0,0.0,3.0,0.0,,
2021,Feb,2-3,2/2/21,8,YouGov,TT,41.0,4.0,37.0,-4.0,6.0,0.0,6.0,2.0,3.0,0.0,,
2021,Feb,5-6,5/2/21,12,Survation,,39.0,-1.0,33.0,-5.0,9.0,2.0,7.0,2.0,,,,
2021,Feb,5-7,5/2/21,11,Savanta ComRes,,41.0,0.0,37.0,-1.0,8.0,2.0,4.0,1.0,2.0,0.0,,
2021,Feb,6-8,6/2/21,,YouGov,,,,,,,,,,,,,
2021,Feb,8,8/2/21,9,R+W,,43.0,3.0,38.0,0.0,7.0,-1.0,4.0,0.0,2.0,-1.0,,
2021,Feb,8-9,8/2/21,,YouGov,,,,,,,,,,,,,
2021,Feb,9-10,9/2/21,11,YouGov,TT,41.0,0.0,36.0,-1.0,6.0,0.0,7.0,1.0,3.0,0.0,,
2021,Feb,11-12,11/2/21,14,Opinium,Ob,42.0,1.0,37.0,-1.0,6.0,-1.0,5.0,1.0,0.0,-1.0,1.0,-1.0
2021,Feb,12-14,12/2/21,18,Savanta ComRes,,42.0,1.0,37.0,0.0,7.0,-1.0,3.0,-1.0,2.0,0.0,,
2021,Feb,13-15,13/2/21,,YouGov,,,,,,,,,,,,,
2021,Feb,15,15/2/21,15,R+W,,41.0,-2.0,39.0,1.0,8.0,1.0,5.0,1.0,2.0,0.0,,
2021,Feb,17-18,17/2/21,22,YouGov,TT,40.0,-1.0,37.0,1.0,7.0,1.0,6.0,-1.0,3.0,0.0,,
2021,Feb,18-22,18/2/21,25,Kantar,,40.0,0.0,33.0,-4.0,11.0,1.0,6.0,1.0,3.0,1.0,2.0,1.0
2021,Feb,19-22,19/2/21,24,Savanta ComRes,,40.0,-2.0,38.0,1.0,7.0,0.0,3.0,0.0,3.0,1.0,,
2021,Feb,19-22,19/2/21,4,Ipsos,,,,,,,,,,,,,
2021,Feb,19-22,19/2/21,,YouGov,,,,,,,,,,,,,
2021,Feb,20-22,20/2/21,,YouGov,,,,,,,,,,,,,
2021,Feb,22,22/2/21,23,R+W,,43.0,2.0,37.0,-2.0,7.0,-1.0,5.0,0.0,3.0,1.0,,
2021,Feb,23-25,23/2/21,1,Survation,,42.0,3.0,34.0,1.0,7.0,-2.0,6.0,-1.0,1.0,,,
2021,Feb,24-26,24/2/21,27,Opinium,Ob,43.0,1.0,36.0,-1.0,7.0,1.0,4.0,-1.0,1.0,1.0,0.0,-1.0
2021,Feb,24-26,24/2/21,27,Deltapoll,MoS,42.0,1.0,38.0,-1.0,6.0,-1.0,4.0,1.0,3.0,1.0,,
2021,Feb,25-26,24/2/21,26,YouGov,TT,41.0,1.0,36.0,-1.0,5.0,-2.0,7.0,1.0,3.0,0.0,,
2021,Feb,26-28,26/2/21,2,Savanta ComRes,,43.0,3.0,36.0,-2.0,7.0,0.0,3.0,0.0,3.0,0.0,,
2021,Feb,27-1,27/2/21,,YouGov,,,,,,,,,,,,,
2021,Mar,1,1/3/21,2,R+W,,44.0,0.0,38.0,0.0,7.0,0.0,3.0,-2.0,2.0,-1.0,,
2021,Mar,3-4,3/3/21,4,YouGov,TT,45.0,4.0,32.0,-4.0,6.0,1.0,7.0,0.0,3.0,0.0,,
2021,Mar,5-7,5/3/21,10,Savanta ComRes,,42.0,-1.0,36.0,0.0,8.0,1.0,4.0,1.0,3.0,0.0,,
2021,Mar,5-12,5/3/21,15,Ipsos,ES,45.0,3.0,38.0,0.0,6.0,-1.0,5.0,-3.0,1.0,,0.0,0.0
2021,Mar,6-8,6/3/21,,YouGov,,,,,,,,,,,,,
2021,Mar,8,8/3/21,9,R+W,,45.0,1.0,36.0,-2.0,7.0,0.0,4.0,1.0,3.0,1.0,,
2021,Mar,8-9,8/3/21,,YouGov,,,,,,,,,,,,,
2021,Mar,9-10,9/3/21,14,Survation,SMirror,43.0,1.0,33.0,-1.0,9.0,2.0,5.0,-1.0,1.0,0.0,,
2021,Mar,9-10,9/3/21,17,YouGov,TT,42.0,-3.0,33.0,1.0,7.0,1.0,6.0,-1.0,3.0,0.0,,
2021,Mar,11-12,11/3/21,14,Opinium,Ob,43.0,0.0,37.0,1.0,6.0,-1.0,4.0,0.0,0.0,-1.0,1.0,1.0
2021,Mar,12-14,12/3/21,17,Savanta ComRes,,39.0,-3.0,37.0,1.0,8.0,0.0,4.0,0.0,3.0,0.0,,
2021,Mar,12-16,12/3/21,20,NCP,,42.0,-1.0,37.0,0.0,7.0,2.0,5.0,0.0,2.0,-1.0,,
2021,Mar,13-15,13/3/21,,YouGov,,,,,,,,,,,,,
2021,Mar,15,15/3/21,16,R+W,,43.0,-2.0,36.0,0.0,7.0,0.0,5.0,1.0,3.0,0.0,,
2021,Mar,16-19,16/3/21,23,BMG,Ind,39.0,,37.0,,9.0,,6.0,,3.0,,,
2021,Mar,18-19,18/3/21,24,YouGov,TT,43.0,1.0,34.0,1.0,5.0,-2.0,7.0,1.0,3.0,0.0,,
2021,Mar,19-21,19/3/21,26,Savanta ComRes,,42.0,3.0,38.0,1.0,6.0,-2.0,3.0,-1.0,2.0,-1.0,,
2021,Mar,20-22,20/3/21,,YouGov,,,,,,,,,,,,,
2021,Mar,22,22/3/21,22,R+W,,42.0,-1.0,36.0,0.0,9.0,2.0,6.0,1.0,2.0,-1.0,,
2021,Mar,25-26,25/3/21,28,Opinium,Ob,41.0,-2.0,37.0,0.0,6.0,0.0,5.0,1.0,1.0,1.0,2.0,1.0
2021,Mar,25-26,25/3/21,30,YouGov,TT,42.0,-1.0,32.0,-2.0,8.0,3.0,7.0,0.0,3.0,0.0,,
2021,Mar,25-27,25/3/21,28,Deltapoll,MoS,44.0,2.0,36.0,-2.0,6.0,0.0,4.0,0.0,3.0,0.0,,
2021,Mar,25-29,25/3/21,1,Kantar,,42.0,2.0,34.0,1.0,9.0,-2.0,4.0,-2.0,2.0,-1.0,1.0,-1.0
2021,Mar,26-29,26/3/21,1,Ipsos,,,,,,,,,,,,,
2021,Mar,27-29,27/3/21,,YouGov,,,,,,,,,,,,,
2021,Mar,29,29/3/21,29,R+W,,44.0,2.0,36.0,0.0,7.0,-2.0,4.0,-2.0,2.0,0.0,,
2021,Mar,31-1,31/3/21,7,YouGov,TT,42.0,0.0,34.0,2.0,7.0,-1.0,6.0,-1.0,3.0,0.0,,
2021,Apr,2-4,2/4/21,6,Savanta ComRes,,42.0,0.0,35.0,-3.0,8.0,2.0,3.0,0.0,2.0,0.0,,
2021,Apr,3-5,3/4/21,,YouGov,,,,,,,,,,,,,
2021,Apr,5,5/4/21,5,R+W,,44.0,0.0,34.0,-2.0,9.0,2.0,5.0,1.0,2.0,0.0,,
2021,Apr,7-8,7/4/21,12,YouGov,TT,41.0,-1.0,34.0,0.0,6.0,0.0,6.0,0.0,3.0,0.0,,
2021,Apr,8-9,8/4/21,11,Opinium,Ob,45.0,4.0,36.0,-1.0,6.0,0.0,4.0,-1.0,0.0,-1.0,1.0,-1.0
2021,Apr,8-10,8/4/21,11,Deltapoll,MoS,45.0,1.0,36.0,0.0,6.0,0.0,4.0,0.0,4.0,1.0,,
2021,Apr,8-10,8/4/21,16,Survation,,43.0,0.0,35.0,2.0,8.0,-1.0,4.0,-1.0,,,,
2021,Apr,9-11,9/4/21,14,Savanta ComRes,,42.0,0.0,35.0,0.0,7.0,-1.0,4.0,1.0,2.0,0.0,,
2021,Apr,10-12,10/4/21,,YouGov,,,,,,,,,,,,,
2021,Apr,12,12/4/21,12,R+W,,43.0,-1.0,36.0,2.0,7.0,-2.0,5.0,0.0,3.0,1.0,,
2021,Apr,13-14,12/4/21,16,YouGov,TT,43.0,2.0,29.0,-5.0,8.0,2.0,8.0,2.0,3.0,0.0,,
2021,Apr,15-19,15/4/21,22,Survation,,40.0,-3.0,34.0,-1.0,9.0,1.0,7.0,3.0,,,,
2021,Apr,16-18,16/4/21,20,Savanta ComRes,,43.0,1.0,34.0,-1.0,7.0,0.0,4.0,0.0,1.0,-1.0,,
2021,Apr,16-22,16/4/21,26,Ipsos,ES,40.0,-5.0,37.0,-1.0,8.0,2.0,5.0,0.0,2.0,1.0,1.0,1.0
2021,Apr,17-19,17/4/21,,YouGov,,,,,,,,,,,,,
2021,Apr,19,19/4/21,19,R+W,,44.0,1.0,34.0,-2.0,10.0,3.0,4.0,-1.0,3.0,0.0,,
2021,Apr,21-22,21/4/21,23,YouGov,TT,44.0,1.0,34.0,5.0,5.0,-3.0,7.0,-1.0,2.0,-1.0,,
2021,Apr,21-23,21/4/21,25,Opinium,Ob,44.0,-1.0,33.0,-3.0,7.0,1.0,5.0,1.0,0.0,0.0,2.0,1.0
2021,Apr,22-26,22/4/21,,BMG,Ind,39.0,0.0,35.0,-2.0,9.0,0.0,6.0,0.0,3.0,0.0,,
2021,Apr,22-26,22/4/21,28,Kantar,,41.0,-1.0,33.0,-1.0,10.0,1.0,7.0,3.0,3.0,1.0,1.0,0.0
2021,Apr,23-25,23/4/21,28,Savanta ComRes,,42.0,-1.0,35.0,1.0,8.0,1.0,3.0,-1.0,2.0,1.0,,
2021,Apr,24-26,24/4/21,,YouGov,,,,,,,,,,,,,
2021,Apr,26,26/4/21,26,R+W,,44.0,0.0,34.0,0.0,8.0,-2.0,4.0,0.0,3.0,0.0,,
2021,Apr,27-28,27/4/21,29,YouGov,TT,44.0,0.0,33.0,-1.0,7.0,2.0,7.0,0.0,3.0,1.0,,
2021,Apr,27-29,27/4/21,1,Survation,DM,39.0,-1.0,38.0,4.0,9.0,0.0,6.0,-1.0,,,,
2021,Apr,28-29,28/4/21,29,NCP,,43.0,1.0,34.0,-3.0,5.0,-2.0,7.0,2.0,2.0,0.0,,
2021,Apr,28-30,28/4/21,2,Opinium,Ob,42.0,-2.0,37.0,4.0,7.0,0.0,4.0,-1.0,0.0,0.0,2.0,0.0
2021,Apr,29-30,29/4/21,1,Focaldata,ST,40.0,,39.0,,6.0,,4.0,,3.0,,,
2021,Apr,30-2,30/4/21,4,Savanta ComRes,,40.0,-2.0,36.0,1.0,8.0,0.0,4.0,1.0,2.0,0.0,,
2021,May,1-3,1/5/21,,YouGov,,,,,,,,,,,,,
2021,May,3,3/5/21,3,R+W,,40.0,-4.0,38.0,4.0,7.0,-1.0,5.0,1.0,3.0,0.0,,
2021,May,4-5,4/5/21,5,Panelbase,,45.0,,36.0,,6.0,,5.0,,,,,
2021,May,4-5,4/5/21,6,YouGov,TT,43.0,-1.0,33.0,0.0,7.0,0.0,6.0,-1.0,3.0,0.0,,
2021,May,7-9,7/5/21,11,Savanta ComRes,,42.0,2.0,34.0,-2.0,8.0,0.0,4.0,0.0,2.0,0.0,,
2021,May,7-10,7/5/21,13,Ipsos,,,,,,,,,,,,,
2021,May,8-10,8/5/21,,YouGov,,,,,,,,,,,,,
2021,May,10,10/5/21,10,R+W,,45.0,5.0,34.0,-4.0,8.0,1.0,5.0,0.0,2.0,-1.0,,
2021,May,11-12,11/5/21,14,YouGov,TT,45.0,2.0,30.0,-3.0,7.0,0.0,8.0,2.0,2.0,-1.0,,
2021,May,13-14,13/5/21,16,Opinium,Ob,44.0,2.0,31.0,-6.0,8.0,1.0,7.0,3.0,0.0,0.0,2.0,0.0
2021,May,13-15,13/5/21,16,Find Out Now / Electoral Calculus,STel,43.0,,30.0,,11.0,,9.0,,2.0,,,
2021,May,14-16,14/5/21,17,Savanta ComRes,,43.0,1.0,32.0,-2.0,8.0,0.0,5.0,1.0,2.0,0.0,,
2021,May,15-17,15/5/21,,YouGov,,,,,,,,,,,,,
2021,May,17,17/5/21,17,R+W,,42.0,-3.0,33.0,-1.0,10.0,2.0,6.0,1.0,2.0,0.0,,
2021,May,19-20,19/5/21,21,YouGov,TT,46.0,1.0,28.0,-2.0,8.0,1.0,8.0,0.0,2.0,0.0,,
2021,May,21-23,21/5/21,27,Savanta ComRes,,43.0,0.0,34.0,2.0,9.0,1.0,4.0,-1.0,2.0,0.0,,
2021,May,22-24,22/5/21,,YouGov,,,,,,,,,,,,,
2021,May,24,24/4/21,24,R+W,,43.0,1.0,33.0,0.0,10.0,0.0,5.0,-1.0,3.0,1.0,,
2021,May,25-26,25/5/21,27,Survation,,44.0,5.0,33.0,-5.0,8.0,-1.0,6.0,0.0,,,,
2021,May,27-28,27/5/21,28,NCP,,44.0,1.0,32.0,-2.0,7.0,2.0,8.0,1.0,2.0,0.0,,
2021,May,27-28,27/5/21,29,Survation,DM,43.0,-1.0,33.0,0.0,10.0,2.0,5.0,-1.0,,,,
2021,May,27-28,27/5/21,29,YouGov,TT,43.0,-3.0,29.0,1.0,8.0,0.0,8.0,0.0,3.0,1.0,,
2021,May,27-28,27/5/21,30,Opinium,Ob,42.0,-2.0,36.0,5.0,6.0,-2.0,5.0,-2.0,1.0,1.0,1.0,-1.0
2021,May,28-30,28/5/21,3,Savanta ComRes,,42.0,-1.0,32.0,-2.0,9.0,0.0,5.0,1.0,2.0,0.0,,
2021,May,28-3,28/5/21,7,Ipsos,ES,44.0,4.0,35.0,-2.0,6.0,-2.0,7.0,2.0,0.0,-2.0,0.0,-1.0
2021,May,29-31,29/5/21,,YouGov,,,,,,,,,,,,,
2021,May,31,31/5/21,31,R+W,,45.0,2.0,34.0,1.0,8.0,-2.0,5.0,0.0,3.0,0.0,,
2021,Jun ,1-2,1/6/21,4,Survation,,41.0,-2.0,33.0,0.0,9.0,-1.0,6.0,1.0,,,,
2021,Jun ,2-3,2/6/21,4,YouGov,TT,46.0,3.0,30.0,1.0,6.0,-2.0,9.0,1.0,2.0,1.0,,
2021,Jun,3-7,3/6/21,10,Kantar,,45.0,4.0,32.0,-1.0,8.0,-2.0,6.0,-1.0,2.0,-1.0,1.0,0.0
2021,Jun,4-6,4/6/21,9,Savanta ComRes,,44.0,2.0,32.0,0.0,8.0,-1.0,5.0,0.0,2.0,0.0,,
2021,Jun,5-7,5/6/21,,YouGov,,,,,,,,,,,,,
2021,Jun,7,7/6/21,7,R+W,,43.0,-2.0,36.0,2.0,7.0,-1.0,5.0,0.0,1.0,-2.0,,
2021,Jun,7-14,7/6/21,17,NCP,ITV,45.0,1.0,34.0,2.0,5.0,-2.0,7.0,-1.0,3.0,1.0,,
2021,Jun ,9-10,9/6/21,11,YouGov,TT,44.0,-2.0,31.0,1.0,7.0,1.0,9.0,0.0,2.0,0.0,,
2021,Jun ,9-10,9/6/21,15,Survation,,42.0,1.0,35.0,2.0,9.0,0.0,5.0,-1.0,,,,
2021,Jun,10-11,10/6/21,13,Opinium,Ob,43.0,1.0,34.0,-2.0,6.0,0.0,7.0,2.0,,,,
2021,Jun,11-13,11/6/21,16,Savanta ComRes,,41.0,-3.0,34.0,2.0,8.0,0.0,6.0,1.0,2.0,0.0,,
2021,Jun ,11-15,11/6/21,23,Survation,,41.0,-1.0,33.0,-2.0,8.0,-1.0,7.0,2.0,,,,
2021,Jun,12-14,12/6/21,,YouGov,,,,,,,,,,,,,
2021,Jun,13,13/6/21,14,R+W,,44.0,1.0,34.0,-2.0,9.0,2.0,5.0,0.0,2.0,1.0,,
2021,Jun,16-17,16/6/21,21,YouGov,TT,45.0,1.0,31.0,0.0,6.0,-1.0,7.0,-2.0,4.0,2.0,,
2021,Jun,17-20,17/6/21,22,Deltapoll,,41.0,-4.0,35.0,-1.0,10.0,4.0,5.0,1.0,2.0,-2.0,3.0,
2021,Jun,18-20,18/6/21,22,Savanta ComRes,,44.0,3.0,30.0,-4.0,10.0,2.0,5.0,-1.0,1.0,-1.0,,
2021,Jun,18-20,18/6/21,,YouGov,,,,,,,,,,,,,
2021,Jun,19-21,19/6/21,,YouGov,,,,,,,,,,,,,
2021,Jun,21,21/6/21,21,R+W,,44.0,0.0,33.0,-1.0,10.0,1.0,4.0,-1.0,3.0,1.0,,
2021,Jun,23-24,23/6/21,25,YouGov,TT,42.0,-3.0,30.0,-1.0,9.0,3.0,7.0,0.0,4.0,0.0,,
2021,Jun,23-25,23/6/21,27,Opinium,Ob,43.0,0.0,35.0,1.0,7.0,1.0,5.0,-2.0,,,,
2021,Jun,25-26,25/6/21,1,Survation,,41.0,0.0,35.0,2.0,10.0,2.0,5.0,-2.0,,,,
2021,Jun,25-27,25/6/21,29,Savanta ComRes,,42.0,-2.0,33.0,3.0,9.0,-1.0,5.0,0.0,2.0,1.0,,
2021,Jun,25-28,25/6/21,1,Ipsos,,,,,,,,,,,,,
2021,Jun,26-28,26/6/21,,YouGov,,,,,,,,,,,,,
2021,Jun,28,28/6/21,28,R+W,,41.0,-3.0,34.0,1.0,9.0,-1.0,5.0,1.0,3.0,0.0,,
2021,Jun,29-30,29/6/21,5,YouGov,TT,42.0,0.0,31.0,1.0,10.0,1.0,6.0,-1.0,3.0,-1.0,,
2021,Jul,2-4,2/7/21,6,Savanta ComRes,,41.0,-1.0,35.0,2.0,8.0,-1.0,4.0,-1.0,3.0,1.0,,
2021,Jul,2-8,2/7/21,14,Ipsos,ES,40.0,-4.0,31.0,-4.0,13.0,7.0,6.0,-1.0,0.0,0.0,1.0,1.0
2021,Jul,3-5,3/7/21,,YouGov,,,,,,,,,,,,,
2021,Jul,5,5/7/21,5,R+W,,43.0,2.0,34.0,0.0,8.0,-1.0,6.0,1.0,4.0,1.0,,
2021,Jul,5-13,5/7/21,13,Survation,,43.0,2.0,32.0,-3.0,9.0,-1.0,6.0,1.0,,,,
2021,Jul,7-8,7/7/21,13,YouGov,TT,42.0,0.0,30.0,-1.0,9.0,-1.0,7.0,1.0,2.0,-1.0,,
2021,Jul,7-12,7/7/21,15,Kantar,,44.0,-1.0,31.0,1.0,12.0,4.0,4.0,-2.0,1.0,-1.0,0.0,-1.0
2021,Jul,8-9,8/7/21,11,Opinium,Ob,43.0,0.0,35.0,0.0,6.0,-1.0,6.0,1.0,,,,
2021,Jul,9-11,9/7/21,14,Savanta ComRes,,40.0,-1.0,35.0,0.0,9.0,1.0,6.0,2.0,2.0,-1.0,,
2021,Jul,10-12,10/7/21,,YouGov,,,,,,,,,,,,,
2021,Jul,12,12/7/21,12,R+W,,41.0,-2.0,33.0,-1.0,12.0,4.0,6.0,0.0,3.0,-1.0,,
2021,Jul,15-16,15/7/21,19,YouGov,,44.0,2.0,31.0,1.0,8.0,-1.0,6.0,-1.0,3.0,1.0,,
2021,Jul,16-18,16/7/21,22,Savanta ComRes,,41.0,1.0,34.0,-1.0,8.0,-1.0,5.0,-1.0,2.0,0.0,,
2021,Jul,17-19,17/7/21,,YouGov,,,,,,,,,,,,,
2021,Jul,19,19/7/21,19,R+W,,42.0,1.0,33.0,0.0,10.0,-2.0,5.0,-1.0,3.0,0.0,,
2021,Jul,19-20,19/7/21,20,Survation,,39.0,-4.0,35.0,3.0,11.0,2.0,5.0,-1.0,,,,
2021,Jul,20-21,20/7/21,24,YouGov,TT,38.0,-6.0,34.0,3.0,9.0,1.0,8.0,2.0,3.0,0.0,,
